brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Car_Age,Price_per_Mile,Luxury_Brand,High_Mileage,Vehicle_Age_Group
Hyundai,Elantra N Base,2022,11650,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300,4,2.772532188841202,0,0,New
Nissan,Sentra SR,2016,96541,Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,Unknown,13998,10,0.14499539055945143,0,0,Moderate
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,59995,5,3.4282857142857144,1,0,New
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25700,11,0.372463768115942,1,0,Old
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,21375,9,0.2610527601367855,1,0,Moderate
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,48000,8,1.6666666666666667,1,0,Moderate
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10900,20,0.036311183511391384,0,1,Old
BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,120 AH,Automatic,Black,Black,None reported,Unknown,24998,6,0.7135150563721993,1,0,Moderate
Kia,Sorento SX,2011,171000,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,5999,15,0.03508187134502924,0,1,Old
Lexus,LX 570 Base,2016,118700,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,46900,10,0.3951137320977254,1,1,Moderate
Jeep,New Compass Trailhawk,2017,119000,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,15900,9,0.13361344537815126,0,1,Moderate
BMW,340 i,2018,44261,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,Unknown,33598,8,0.759088136282506,1,0,Moderate
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,8999,14,0.0716623531753932,1,1,Old
Hyundai,Tucson SE,2007,16200,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,8200,19,0.5061728395061729,0,0,Old
BMW,Z4 sDrive28i,2014,70000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000,12,0.2857142857142857,1,0,Old
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,79950,15,3.957920792079208,0,0,Old
Honda,Passport Elite,2023,2978,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,Unknown,45498,3,15.278038952316992,0,0,New
Dodge,Sprinter 2500,2007,189719,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,14000,19,0.07379334700267237,0,1,Old
BMW,M850 i xDrive,2019,9949,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,Unknown,75798,7,7.6186551412202235,1,0,Moderate
Lucid,Air Grand Touring,2022,3552,Unknown,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None reported,Yes,119999,4,33.783502252252255,0,0,New
Audi,A7 Premium,2012,54000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880,14,0.682962962962963,1,0,Old
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,43147,5,0.8402368016202216,0,0,New
MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000,9,1.1943986820428336,0,0,Moderate
Toyota,Avalon Touring,2016,89148,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17500,10,0.19630277740386773,0,0,Moderate
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,30990,9,0.4242706351053489,1,0,Moderate
Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500,9,0.875,1,0,Moderate
Honda,CR-V EX-L,2016,73549,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,Unknown,20848,10,0.28345728697874883,0,0,Moderate
Hummer,H2 Base,2005,110900,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,19500,21,0.17583408476104598,0,1,Very Old
Porsche,911 Carrera S,2013,39000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,73000,13,1.8717948717948718,1,0,Old
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800,10,0.165,1,1,Moderate
Chrysler,300 Touring,2009,134602,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500,17,0.05571982585697092,0,1,Old
Nissan,Rogue SV,2023,1094,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,Unknown,30999,3,28.33546617915905,0,0,New
Audi,A3 2.0T,2010,83500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500,16,0.07784431137724551,1,0,Old
Ford,Mustang GT Premium,2014,37060,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,28500,12,0.7690232056125202,0,0,Old
Acura,RL Technology,2010,97700,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995,16,0.11253838280450358,0,0,Old
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000,8,1.05,0,0,Moderate
Audi,R8 5.2 V10,2018,8940,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,Unknown,144900,8,16.20805369127517,1,0,Moderate
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000,12,0.053763440860215055,1,1,Old
Toyota,C-HR LE,2021,13180,Gasoline,2.0 Liter,CVT-F,–,–,None reported,Unknown,23998,5,1.8207890743550834,0,0,New
Lexus,IS 350 Base,2014,104000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,21000,12,0.20192307692307693,1,1,Old
BMW,X4 M40i,2023,8500,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,67900,3,7.988235294117647,1,0,New
BMW,M4 CS,2019,19069,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,Unknown,69998,7,3.6707745555613824,1,0,Moderate
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,46900,3,7.7011494252873565,0,0,New
Lucid,Air Grand Touring,2022,4900,Unknown,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,99000,4,20.20408163265306,0,0,New
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000,7,0.6523157208088715,1,0,Moderate
Chrysler,300C SRT8,2006,43000,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,19995,20,0.465,0,0,Old
Bentley,Continental GT W12,2017,14684,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,130000,9,8.853173522201034,0,0,Moderate
BMW,M4 Base,2019,57800,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,55999,7,0.9688408304498269,1,0,Moderate
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,49950,3,52.46848739495798,0,0,New
Audi,RS 5 2.9T,2019,21240,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,59950,7,2.8225047080979286,1,0,Moderate
Porsche,Cayenne Base,2019,59338,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42499,7,0.7162189490714214,1,0,Moderate
Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,Unknown,359991,3,1411.729411764706,0,0,New
Maserati,Quattroporte S,2019,23230,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,44999,7,1.9371071889797675,0,0,Moderate
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,30000,9,0.625,0,0,Moderate
Lexus,ES 330 Base,2005,41059,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,11100,21,0.27034267761026815,1,0,Very Old
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Gasoline,2.0 Liter,Automatic,White,Black,None reported,Unknown,37998,6,1.7889830508474576,0,0,Moderate
