brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Car_Age,Price_per_Mile,Luxury_Brand,High_Mileage,Vehicle_Age_Group
BMW,M5 Base,2018,47700,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,White,At least 1 accident or damage reported,Yes,54999,8,1.1530188679245283,1,0,Moderate
Ford,Mustang SVT Cobra,2003,97496,Gasoline,390.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Gray,Unknown,Unknown,24500,23,0.2512923607122344,0,0,Very Old
Acura,ILX Premium Package,2022,16120,Gasoline,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Gray,Ebony,None reported,Unknown,26599,4,1.6500620347394541,0,0,New
Buick,Rainier CXL,2005,147589,Gasoline,275.0HP 4.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,2800,21,0.01897160357479216,0,1,Very Old
Cadillac,Escalade Luxury,2013,95570,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,22000,13,0.23019776080359947,0,0,Old
Mercedes-Benz,S-Class S 560,2018,45791,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Gray,None reported,Yes,52000,8,1.135594330763687,1,0,Moderate
INFINITI,QX80 Base,2016,60000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,25950,10,0.4325,0,0,Moderate
Buick,Encore Preferred,2019,50000,Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,18795,7,0.3759,0,0,Moderate
Mercedes-Benz,GLS 450 Base 4MATIC,2019,33481,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Almond Beige,None reported,Unknown,43999,7,1.3141483229294226,1,0,Moderate
Jeep,Liberty Limited,2010,107000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,5900,16,0.05514018691588785,0,1,Old
Mercedes-Benz,S-Class S 63 AMG,2011,60000,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,37000,15,0.6166666666666667,1,0,Old
Audi,A8 L 3.0T,2016,55000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,28000,10,0.509090909090909,1,0,Moderate
Mazda,CX-30 2.5 S Select Package,2022,4004,Gasoline,186.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,25500,4,6.368631368631369,0,0,New
Bentley,Continental GT Speed,2009,57800,Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,Unknown,Unknown,59400,17,1.027681660899654,0,0,Old
Bentley,Continental GT V8,2022,10972,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,Red,Black,None reported,Yes,217950,4,19.864199781261394,0,0,New
Bentley,Flying Spur V8,2022,27858,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,–,–,None reported,Yes,197750,4,7.098499533347692,0,0,New
Porsche,911 Carrera 4S,2018,31678,Gasoline,3.0 Liter,–,Silver,–,None reported,Unknown,106798,8,3.3713618283982574,1,0,Moderate
Volkswagen,Golf R 4-Door,2016,47144,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,29950,10,0.6352876293908026,0,0,Moderate
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,165454,Gasoline,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,4000,15,0.024175903876606186,0,1,Old
Ford,F-150 XLT,2018,98000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,–,At least 1 accident or damage reported,Yes,25500,8,0.2602040816326531,0,0,Moderate
Hyundai,Tucson Limited,2020,39913,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Black Noir Pearl,Beige,None reported,Unknown,22749,6,0.569964673164132,0,0,Moderate
Ford,Mustang V6,2013,147191,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,12990,13,0.08825267849257087,0,1,Old
BMW,435 i,2014,53600,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,25980,12,0.4847014925373134,1,0,Old
Dodge,Challenger R/T,2010,100100,–,–,Transmission w/Dual Shift Mode,Purple,Black,None reported,Yes,17000,16,0.16983016983016982,0,1,Old
Mercedes-Benz,AMG G 63 Base,2020,1750,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,Yes,199995,6,114.28285714285714,1,0,Moderate
Dodge,Challenger SRT Hellcat,2020,2750,Gasoline,797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Orange,Black,None reported,Yes,104500,6,38.0,0,0,Moderate
Porsche,Boxster Base,2013,40800,Gasoline,265.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,Beige,None reported,Yes,35500,13,0.8700980392156863,1,0,Old
Porsche,Macan Base,2018,36798,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Volcano Grey Metallic,Black,At least 1 accident or damage reported,Yes,49500,8,1.3451818033588783,1,0,Moderate
Ford,F-250 XL,2021,77699,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,White,Medium Earth Gray,Unknown,Unknown,49883,5,0.6420031145831993,0,0,New
Ford,Mustang GT,2010,87500,Gasoline,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,14900,16,0.1702857142857143,0,0,Old
Chevrolet,Suburban LT,2020,93000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,38500,6,0.41397849462365593,0,0,Moderate
Mercedes-Benz,C-Class C 300 4MATIC,2018,41515,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Black,Black,None reported,Yes,28251,8,0.680501023726364,1,0,Moderate
RAM,1500 Classic Warlock,2019,19000,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Diamond Black,Diesel Gray / Black,At least 1 accident or damage reported,Unknown,33242,7,1.7495789473684211,0,0,Moderate
Toyota,Sequoia SR5,2023,1539,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Green,Boulder,At least 1 accident or damage reported,Yes,76373,3,49.62508122157245,0,0,New
BMW,M5 Base,2018,31090,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,At least 1 accident or damage reported,Yes,68000,8,2.1871984560952074,1,0,Moderate
Mazda,Mazda3 FWD w/Premium Package,2022,21701,Gasoline,2.5L I4 16V,6-Speed Automatic,Soul Red Crystal Metallic,Black,None reported,Unknown,25099,4,1.1565826459610156,0,0,New
Nissan,Rogue SL,2016,97726,Gasoline,"2.5L I-4 DOHC, variable valve control, regular unleaded, engine",Variable,Gun Metallic,Charcoal,At least 1 accident or damage reported,Unknown,15998,10,0.16370259705707796,0,0,Moderate
Audi,A7 3.0T Prestige,2015,73000,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,White,Gray,None reported,Yes,34000,11,0.4657534246575342,1,0,Old
Genesis,G80 3.8,2020,23600,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,31900,6,1.3516949152542372,0,0,Moderate
Rolls-Royce,Ghost Base,2016,8755,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,166900,10,19.063392347230153,0,0,Moderate
BMW,M6 Gran Coupe Base,2019,20500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,67900,7,3.3121951219512193,1,0,Moderate
Ford,Mustang V6,2013,57912,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,18750,13,0.32376709490261085,0,0,Old
BMW,650 i,2009,35000,Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,18500,17,0.5285714285714286,1,0,Old
Nissan,Leaf SV PLUS,2023,7089,Unknown,214.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29895,3,4.217096910706728,0,0,New
Lincoln,MKC Reserve,2019,35469,Gasoline,2.3L I4 16V GDI DOHC Turbo,6-Speed Automatic,Black,–,Unknown,Unknown,30890,7,0.8709013504750628,0,0,Moderate
Kia,Telluride EX,2022,14676,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Dark Moss,Gray,None reported,Unknown,46787,4,3.1879940038157537,0,0,New
Lincoln,Navigator Reserve,2022,13750,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Beige,None reported,Yes,79999,4,5.818109090909091,0,0,New
Mercedes-Benz,S-Class S 550 4MATIC,2015,13300,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,62500,11,4.6992481203007515,1,0,Old
Chevrolet,Suburban LT,2017,117000,Gasoline,6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,27000,9,0.23076923076923078,0,1,Moderate
Audi,A7 55 Premium,2020,27100,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,White,Black,None reported,Yes,50000,6,1.845018450184502,1,0,Moderate
Ford,Mustang EcoBoost Premium,2017,89352,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,20989,9,0.23490240845196525,0,0,Moderate
Chevrolet,Cruze LS,2018,100000,Gasoline,153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,8500,8,0.085,0,0,Moderate
Land,Rover Range Rover HSE SWB,2020,16000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Black,None reported,Yes,75500,6,4.71875,0,0,Moderate
Land,Rover Defender S,2023,15200,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,62999,3,4.144671052631579,0,0,New
BMW,650 i,2012,39960,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Brown,None reported,Yes,38995,14,0.9758508508508509,1,0,Old
Ford,Mustang Base,2008,119000,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,13500,18,0.1134453781512605,0,1,Old
Kia,K5 GT-Line,2022,10971,Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,Passion Red,Black,None reported,Unknown,29998,4,2.7342995169082127,0,0,New
Mazda,Mazda3 i Touring,2014,118500,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Silver,Black,At least 1 accident or damage reported,Yes,11500,12,0.0970464135021097,0,1,Old
Kia,Stinger GT1,2021,8288,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,45899,5,5.538006756756757,0,0,New
Chevrolet,Camaro ZL1,2023,2950,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Gray,None reported,Yes,74500,3,25.25423728813559,0,0,New
Mercedes-Benz,AMG G 63 Base,2017,73000,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,78000,9,1.0684931506849316,1,0,Moderate
Ford,Thunderbird Premium,2005,82000,Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gold,White,None reported,Yes,14900,21,0.18170731707317073,0,0,Very Old
Audi,e-tron Prestige,2019,7874,Unknown,Electric,1-Speed Automatic,Typhoon Gray Metallic,Pearl Beige,None reported,Unknown,38999,7,4.9528829057658115,1,0,Moderate
GMC,Sierra 1500 SLT,2017,49105,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,39750,9,0.8094898686488138,0,0,Moderate
Kia,Telluride LX,2023,5500,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,40000,3,7.2727272727272725,0,0,New
Chevrolet,Corvette Base,2005,36700,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,26000,21,0.7084468664850136,0,0,Very Old
BMW,650 i,2014,40000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,34000,12,0.85,1,0,Old
Nissan,Rogue SL,2017,78110,Gasoline,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,Unknown,Unknown,17500,9,0.22404301625912176,0,0,Moderate
GMC,Acadia Denali,2015,74864,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,None reported,Yes,19780,11,0.26421243855524684,0,0,Old
Cadillac,Escalade Premium Luxury Platinum,2021,15350,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,93500,5,6.091205211726384,0,0,New
Nissan,GT-R Premium,2010,46100,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,72999,16,1.5834924078091106,0,0,Old
Toyota,Highlander XLE,2018,61454,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,31000,8,0.5044423471214241,0,0,Moderate
BMW,X7 xDrive40i,2020,45241,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,None reported,Yes,54500,6,1.2046594902853607,1,0,Moderate
INFINITI,QX60 Base,2018,48000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,27000,8,0.5625,0,0,Moderate
Lexus,IS 250C Base,2010,68500,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Beige,None reported,Yes,18500,16,0.27007299270072993,1,0,Old
GMC,Sierra 1500 Denali,2019,43433,Gasoline,5.3L V8 16V GDI OHV,Automatic,Onyx Black,Walnut,None reported,Unknown,51899,7,1.1949209126700895,0,0,Moderate
Chevrolet,SSR Base,2005,122961,Gasoline,6.0L V8 16V MPFI OHV,4-Speed Automatic,Redline Red,Ebony,None reported,Yes,20995,21,0.17074519563113508,0,1,Very Old
Dodge,Challenger R/T,2014,92861,Gasoline,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Red,None reported,Yes,19750,12,0.21268347314803845,0,0,Old
Hyundai,Equus Signature,2016,72000,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,21400,10,0.2972222222222222,0,0,Moderate
Lamborghini,Aventador SVJ Base,2019,6929,Gasoline,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,649999,7,93.80848607302642,0,0,Moderate
Ford,Mustang GT,2003,83000,Gasoline,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,10500,23,0.12650602409638553,0,0,Very Old
Audi,e-tron Premium,2021,18031,Unknown,Electric,1-Speed Automatic,Navarra Blue Metallic,Black,None reported,Unknown,39599,5,2.1961621651600023,1,0,New
Toyota,Sequoia Limited,2023,8200,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Brown,Black,None reported,Yes,78900,3,9.621951219512194,0,0,New
Land,Rover Range Rover Sport HST MHEV,2020,19000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,Unknown,Unknown,74900,6,3.942105263157895,0,0,Moderate
Jeep,Grand Cherokee L Limited,2022,12875,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Diamond Black,Global Black,None reported,Unknown,42599,4,3.3086601941747573,0,0,New
Maserati,GranTurismo Sport,2015,32000,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Brown,None reported,Yes,36000,11,1.125,0,0,Old
BMW,M5 Base,2013,61145,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,37500,13,0.6132962629814376,1,0,Old
Mercedes-Benz,C-Class 4MATIC Sedan,2022,9612,Gasoline,"2L I-4 gasoline direct injection, DOHC, variable valve control,","Automatic, 9-Spd 9G-Tronic",–,–,None reported,Unknown,43900,4,4.567207657095298,1,0,New
Land,Rover Range Rover Sport First Edition,2023,3534,Hybrid,4.4 Liter,Automatic,Red,Black,None reported,Unknown,143998,3,40.74646293152235,0,0,New
Ford,F-150 Lariat,2011,152000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,None reported,Yes,14000,15,0.09210526315789473,0,1,Old
Audi,A4 2.0T Premium,2012,129567,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,7000,14,0.0540261023254378,1,1,Old
BMW,540 i xDrive,2019,36000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,41995,7,1.1665277777777778,1,0,Moderate
BMW,X6 xDrive35i,2009,92008,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,12500,17,0.1358577514998696,1,0,Old
Ford,Mustang Base,1998,63900,Gasoline,150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,10300,28,0.16118935837245696,0,0,Very Old
Toyota,Sequoia Limited,2012,150900,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,17500,14,0.11597084161696487,0,1,Old
Dodge,Challenger R/T Scat Pack,2019,43000,–,–,6-Speed M/T,Green,Black,None reported,Yes,50000,7,1.1627906976744187,0,0,Moderate
Land,Rover Range Rover 3.0L Supercharged,2018,38020,Gasoline,5.0 Liter,Automatic,White,Espresso,None reported,Unknown,63998,8,1.6832719621251973,0,0,Moderate
Audi,Q8 55 Premium Plus,2021,14750,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,61059,5,4.139593220338983,1,0,New
Subaru,WRX Base,2015,52500,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,23000,11,0.4380952380952381,0,0,Old
Chevrolet,Suburban LT,2017,207571,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,21000,9,0.10117020200316999,0,1,Moderate
INFINITI,QX60 Pure,2020,39000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,29900,6,0.7666666666666667,0,0,Moderate
Porsche,Cayman Base,2011,66000,Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,Unknown,Unknown,28000,15,0.42424242424242425,1,0,Old
INFINITI,QX60 Base,2017,93500,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,16000,9,0.1711229946524064,0,0,Moderate
BMW,M4 Base,2018,7200,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,64000,8,8.88888888888889,1,0,Moderate
Maserati,MC20 MC20,2022,1220,Gasoline,"Nettuno 3L V-6 port/direct injection, DOHC, variable valve contr","Automatic, 8-Spd Dual-Clutch",–,–,None reported,Unknown,238900,4,195.81967213114754,0,0,New
Land,Rover Defender SE,2023,8421,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,White,None reported,Yes,90000,3,10.687566797292483,0,0,New
BMW,M8 Base,2020,25520,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Brands Hatch Gray Metallic,Black,None reported,Unknown,84900,6,3.3268025078369905,1,0,Moderate
Tesla,Model Y Performance,2020,30554,Unknown,Electric,1-Speed Automatic,Blue,Black,None reported,Unknown,41999,6,1.3745827060286706,0,0,Moderate
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,17000,Unknown,402.0HP Electric Motor Electric Fuel System,A/T,Gray,Blue,None reported,Yes,54900,3,3.2294117647058824,0,0,New
Mercedes-Benz,SL-Class SL 550,2011,41314,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,White,At least 1 accident or damage reported,Yes,30999,15,0.7503267657452679,1,0,Old
Land,Rover Range Rover P525 HSE SWB,2020,49899,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,64500,6,1.292611074370228,0,0,Moderate
Ford,Escape XLT,2012,186268,E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Blue,Black,None reported,Yes,4500,14,0.024158739021195266,0,1,Old
Lexus,ES 350 Base,2016,51335,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,25995,10,0.5063796629979546,1,0,Moderate
Porsche,718 Boxster GTS,2019,10400,Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,99750,7,9.591346153846153,1,0,Moderate
Mercedes-Benz,G-Class G 550,2020,20622,Gasoline,4.0 Liter Twin Turbo,Automatic,designo Diamond White Metallic,Black,None reported,Unknown,142998,6,6.934244981088158,1,0,Moderate
RAM,1500 Big Horn,2022,19376,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Bright White Clearcoat,Black,None reported,Yes,45861,4,2.366897192402973,0,0,New
Audi,R8 5.2 V10 performance,2020,12245,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Daytona Gray Pearl Effect w/ Black Roof,Black / Express Red,None reported,Unknown,187900,6,15.345038791343406,1,0,Moderate
Mitsubishi,Lancer Evolution IX,2006,77000,Gasoline,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,None reported,Yes,57000,20,0.7402597402597403,0,0,Old
Acura,TL Technology,2013,40000,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,None reported,Yes,24000,13,0.6,0,0,Old
Cadillac,CTS Luxury,2012,113000,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,10000,14,0.08849557522123894,0,1,Old
Chevrolet,Camaro 1SS,2022,7600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,46000,4,6.052631578947368,0,0,New
Toyota,Camry Hybrid LE,2022,20400,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Gray,None reported,Yes,29900,4,1.4656862745098038,0,0,New
Ford,Transit-350 XLT,2019,115000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,39000,7,0.3391304347826087,0,1,Moderate
Lexus,RX 450h Base,2012,239000,Hybrid,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,7000,14,0.029288702928870293,1,1,Old
Jaguar,F-TYPE V6 S,2014,62194,Gasoline,3.0 Liter SC ULEV,Automatic,Black,Black,None reported,Unknown,32998,12,0.5305656494195582,0,0,Old
Jeep,Wrangler Sahara,2020,22138,Gasoline,3.6 Liter,Automatic,Black,Black,None reported,Unknown,38598,6,1.743517932965941,0,0,Moderate
Porsche,718 Boxster S,2017,48900,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,62500,9,1.278118609406953,1,0,Moderate
Audi,R8 5.2,2014,21800,Gasoline,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,117000,12,5.36697247706422,1,0,Old
Lincoln,MKZ Base,2016,68200,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,16750,10,0.24560117302052786,0,0,Moderate
Chevrolet,S-10 LS Crew Cab,2001,139000,Gasoline,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,Yes,7000,25,0.050359712230215826,0,1,Very Old
Mercedes-Benz,G-Class G 550 4MATIC,2021,76100,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,130000,5,1.7082785808147174,1,0,New
Lexus,RX 350 RX 350 F SPORT Handling,2022,14330,Gasoline,3.5 Liter DOHC,Automatic,Black,Red,None reported,Unknown,54998,4,3.8379623168178645,1,0,New
BMW,750 i xDrive,2019,41906,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,White,At least 1 accident or damage reported,Yes,45999,7,1.0976709779029257,1,0,Moderate
Chevrolet,Camaro 2SS,2016,164000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,21500,10,0.13109756097560976,0,1,Moderate
Ford,Fusion Hybrid SE,2013,161933,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,Blue,Charcoal Black,None reported,Yes,7945,13,0.04906350157163765,0,1,Old
Hyundai,Santa Cruz 2.5T Limited,2022,22829,Gasoline,2.5L I4 16V PDI DOHC Turbo,Automatic,Hampton Gray,Black,None reported,Unknown,34580,4,1.5147400236541242,0,0,New
